,weights
6661,3.7114402618310996e-05
5116,3.7114402618310996e-05
4485,3.7114402618310996e-05
4513,3.7114402618310996e-05
6551,3.7114402618310996e-05
3523,3.7114402618310996e-05
2934,3.7114402618310996e-05
4910,3.7114402618310996e-05
358,3.7114402618310996e-05
316,3.7114402618310996e-05
5405,3.7114402618310996e-05
7438,3.7114402618310996e-05
3647,3.7114402618310996e-05
721,3.83515493722547e-05
2987,3.83515493722547e-05
3027,3.83515493722547e-05
5087,3.83515493722547e-05
5809,3.83515493722547e-05
3531,3.83515493722547e-05
5700,3.83515493722547e-05
4110,3.83515493722547e-05
6693,3.83515493722547e-05
3382,3.83515493722547e-05
2032,3.83515493722547e-05
5414,3.83515493722547e-05
6334,3.83515493722547e-05
2117,3.83515493722547e-05
1583,3.83515493722547e-05
1387,3.83515493722547e-05
3196,3.83515493722547e-05
5816,3.83515493722547e-05
4496,3.83515493722547e-05
443,3.83515493722547e-05
5847,3.83515493722547e-05
1697,3.967401659198762e-05
2384,3.967401659198762e-05
2787,3.967401659198762e-05
2289,3.967401659198762e-05
1416,3.967401659198762e-05
4149,3.967401659198762e-05
5395,3.967401659198762e-05
2317,3.967401659198762e-05
6001,3.967401659198762e-05
2415,3.967401659198762e-05
7393,4.109094575598717e-05
5351,4.109094575598717e-05
5458,4.109094575598717e-05
4083,4.109094575598717e-05
6617,4.109094575598717e-05
5761,4.109094575598717e-05
7660,4.109094575598717e-05
6717,4.109094575598717e-05
7543,4.109094575598717e-05
7640,4.109094575598717e-05
2620,4.109094575598717e-05
5186,4.109094575598717e-05
6175,4.109094575598717e-05
4874,4.109094575598717e-05
2045,4.109094575598717e-05
6850,4.109094575598717e-05
4852,4.109094575598717e-05
732,4.109094575598717e-05
2046,4.109094575598717e-05
2453,4.109094575598717e-05
7048,4.109094575598717e-05
3507,4.109094575598717e-05
657,4.109094575598717e-05
5054,4.109094575598717e-05
3643,4.109094575598717e-05
5418,4.109094575598717e-05
760,4.109094575598717e-05
3461,4.109094575598717e-05
5561,4.109094575598717e-05
5881,4.109094575598717e-05
4353,4.109094575598717e-05
4775,4.109094575598717e-05
5497,4.109094575598717e-05
7646,4.109094575598717e-05
3076,4.109094575598717e-05
720,4.109094575598717e-05
5595,4.109094575598717e-05
3010,4.109094575598717e-05
70,4.109094575598717e-05
1689,4.109094575598717e-05
7280,4.109094575598717e-05
2053,4.109094575598717e-05
7762,4.109094575598717e-05
1801,4.109094575598717e-05
2284,4.109094575598717e-05
4489,4.109094575598717e-05
5132,4.109094575598717e-05
6031,4.109094575598717e-05
2875,4.109094575598717e-05
6375,4.109094575598717e-05
2132,4.109094575598717e-05
2959,4.109094575598717e-05
4325,4.109094575598717e-05
5690,4.109094575598717e-05
2738,4.109094575598717e-05
3048,4.109094575598717e-05
4357,4.109094575598717e-05
91,4.109094575598717e-05
3792,4.109094575598717e-05
7703,4.109094575598717e-05
4588,4.109094575598717e-05
3767,4.109094575598717e-05
44,4.109094575598717e-05
487,4.109094575598717e-05
384,4.109094575598717e-05
2354,4.109094575598717e-05
6222,4.261283263583855e-05
1506,4.261283263583855e-05
4660,4.261283263583855e-05
7047,4.261283263583855e-05
3161,4.261283263583855e-05
1081,4.261283263583855e-05
1310,4.261283263583855e-05
6103,4.261283263583855e-05
6608,4.261283263583855e-05
1928,4.261283263583855e-05
2370,4.261283263583855e-05
1439,4.261283263583855e-05
4709,4.261283263583855e-05
3406,4.261283263583855e-05
7448,4.261283263583855e-05
7390,4.261283263583855e-05
4936,4.261283263583855e-05
809,4.261283263583855e-05
2105,4.261283263583855e-05
5537,4.261283263583855e-05
3206,4.261283263583855e-05
5389,4.261283263583855e-05
5105,4.261283263583855e-05
7464,4.261283263583855e-05
4866,4.261283263583855e-05
6313,4.261283263583855e-05
5950,4.261283263583855e-05
1470,4.261283263583855e-05
4056,4.261283263583855e-05
7417,4.261283263583855e-05
1478,4.261283263583855e-05
989,4.261283263583855e-05
4576,4.261283263583855e-05
5244,4.261283263583855e-05
5262,4.261283263583855e-05
179,4.261283263583855e-05
2173,4.261283263583855e-05
569,4.261283263583855e-05
191,4.261283263583855e-05
1141,4.261283263583855e-05
5691,4.425178773721696e-05
4561,4.425178773721696e-05
3639,4.425178773721696e-05
2142,4.425178773721696e-05
3668,4.425178773721696e-05
3107,4.425178773721696e-05
7383,4.425178773721696e-05
7350,4.425178773721696e-05
1945,4.425178773721696e-05
792,4.425178773721696e-05
1564,4.425178773721696e-05
5729,4.425178773721696e-05
5643,4.425178773721696e-05
1949,4.425178773721696e-05
5436,4.425178773721696e-05
7389,4.425178773721696e-05
1714,4.425178773721696e-05
219,4.425178773721696e-05
1350,4.425178773721696e-05
7477,4.425178773721696e-05
4017,4.425178773721696e-05
2437,4.602185924670564e-05
987,4.602185924670564e-05
3962,4.602185924670564e-05
751,4.602185924670564e-05
735,4.602185924670564e-05
3152,4.602185924670564e-05
5739,4.793943671531837e-05
5752,4.793943671531837e-05
1207,4.793943671531837e-05
963,4.793943671531837e-05
5461,4.793943671531837e-05
1661,4.793943671531837e-05
5923,4.793943671531837e-05
7172,4.793943671531837e-05
1761,4.793943671531837e-05
4170,4.793943671531837e-05
1944,4.793943671531837e-05
6757,4.793943671531837e-05
3293,4.793943671531837e-05
3765,4.793943671531837e-05
5653,4.793943671531837e-05
4034,4.793943671531837e-05
5936,4.793943671531837e-05
5277,4.793943671531837e-05
2190,4.793943671531837e-05
1733,4.793943671531837e-05
2807,4.793943671531837e-05
5836,4.793943671531837e-05
6665,4.793943671531837e-05
4756,4.793943671531837e-05
1172,4.793943671531837e-05
2346,4.793943671531837e-05
4276,4.793943671531837e-05
444,4.793943671531837e-05
7491,4.793943671531837e-05
6784,4.793943671531837e-05
3493,4.793943671531837e-05
1164,4.793943671531837e-05
2536,4.793943671531837e-05
639,4.793943671531837e-05
2020,4.793943671531837e-05
7735,4.793943671531837e-05
2916,4.793943671531837e-05
3652,4.793943671531837e-05
3325,4.793943671531837e-05
1917,4.793943671531837e-05
4527,4.793943671531837e-05
7695,4.793943671531837e-05
2272,4.793943671531837e-05
3388,4.793943671531837e-05
1481,4.793943671531837e-05
6493,4.793943671531837e-05
1182,4.793943671531837e-05
519,4.793943671531837e-05
7540,4.793943671531837e-05
1321,4.793943671531837e-05
3919,4.793943671531837e-05
3279,4.793943671531837e-05
2299,4.793943671531837e-05
1422,4.793943671531837e-05
5306,4.793943671531837e-05
5995,4.793943671531837e-05
2825,4.793943671531837e-05
3501,4.793943671531837e-05
4362,4.793943671531837e-05
7054,4.793943671531837e-05
1555,4.793943671531837e-05
3172,4.793943671531837e-05
4464,4.793943671531837e-05
5642,4.793943671531837e-05
2711,4.793943671531837e-05
4921,4.793943671531837e-05
1374,4.793943671531837e-05
1706,4.793943671531837e-05
3728,4.793943671531837e-05
2060,4.793943671531837e-05
7217,4.793943671531837e-05
5119,4.793943671531837e-05
5851,4.793943671531837e-05
7127,4.793943671531837e-05
1981,4.793943671531837e-05
4224,4.793943671531837e-05
171,4.793943671531837e-05
5237,4.793943671531837e-05
1009,4.793943671531837e-05
3049,4.793943671531837e-05
6211,4.793943671531837e-05
6085,4.793943671531837e-05
6212,4.793943671531837e-05
4552,4.793943671531837e-05
7286,4.793943671531837e-05
1925,4.793943671531837e-05
658,4.793943671531837e-05
6883,4.793943671531837e-05
6200,4.793943671531837e-05
5420,4.793943671531837e-05
5614,4.793943671531837e-05
5857,4.793943671531837e-05
2604,4.793943671531837e-05
6033,4.793943671531837e-05
3588,4.793943671531837e-05
3262,4.793943671531837e-05
7749,4.793943671531837e-05
5478,4.793943671531837e-05
4699,4.793943671531837e-05
7175,4.793943671531837e-05
5490,4.793943671531837e-05
592,4.793943671531837e-05
5477,4.793943671531837e-05
6650,4.793943671531837e-05
1483,4.793943671531837e-05
1908,4.793943671531837e-05
2831,4.793943671531837e-05
2563,4.793943671531837e-05
5329,4.793943671531837e-05
768,4.793943671531837e-05
6689,4.793943671531837e-05
2449,4.793943671531837e-05
303,4.793943671531837e-05
4794,4.793943671531837e-05
170,4.793943671531837e-05
4102,5.002376005076699e-05
5766,5.002376005076699e-05
4920,5.002376005076699e-05
2310,5.002376005076699e-05
7446,5.002376005076699e-05
1946,5.002376005076699e-05
6305,5.002376005076699e-05
6179,5.002376005076699e-05
6592,5.002376005076699e-05
3875,5.002376005076699e-05
1074,5.002376005076699e-05
7270,5.002376005076699e-05
7004,5.002376005076699e-05
5706,5.002376005076699e-05
1873,5.002376005076699e-05
3999,5.002376005076699e-05
786,5.002376005076699e-05
1124,5.002376005076699e-05
3371,5.002376005076699e-05
375,5.002376005076699e-05
3939,5.002376005076699e-05
222,5.002376005076699e-05
3779,5.002376005076699e-05
3741,5.002376005076699e-05
3211,5.002376005076699e-05
898,5.002376005076699e-05
5269,5.002376005076699e-05
6426,5.002376005076699e-05
3362,5.002376005076699e-05
1211,5.002376005076699e-05
3861,5.002376005076699e-05
3062,5.002376005076699e-05
5872,5.002376005076699e-05
3296,5.002376005076699e-05
1826,5.002376005076699e-05
7357,5.002376005076699e-05
6782,5.002376005076699e-05
2479,5.002376005076699e-05
3659,5.002376005076699e-05
6516,5.002376005076699e-05
3676,5.002376005076699e-05
2084,5.002376005076699e-05
3054,5.229756732580186e-05
1284,5.229756732580186e-05
6745,5.229756732580186e-05
3986,5.229756732580186e-05
1161,5.229756732580186e-05
95,5.229756732580186e-05
6543,5.229756732580186e-05
6232,5.229756732580186e-05
4725,5.229756732580186e-05
4906,5.229756732580186e-05
1962,5.229756732580186e-05
4226,5.229756732580186e-05
3303,5.229756732580186e-05
7188,5.229756732580186e-05
3630,5.229756732580186e-05
386,5.229756732580186e-05
431,5.229756732580186e-05
7051,5.229756732580186e-05
4071,5.229756732580186e-05
4772,5.229756732580186e-05
5354,5.229756732580186e-05
5286,5.229756732580186e-05
6506,5.229756732580186e-05
4532,5.229756732580186e-05
1907,5.229756732580186e-05
6238,5.229756732580186e-05
6764,5.229756732580186e-05
7111,5.229756732580186e-05
743,5.229756732580186e-05
879,5.4787927674649564e-05
2534,5.4787927674649564e-05
2421,5.4787927674649564e-05
6967,5.4787927674649564e-05
3932,5.4787927674649564e-05
950,5.4787927674649564e-05
902,5.4787927674649564e-05
1412,5.4787927674649564e-05
1691,5.4787927674649564e-05
3333,5.4787927674649564e-05
1305,5.4787927674649564e-05
561,5.4787927674649564e-05
3804,5.4787927674649564e-05
6328,5.4787927674649564e-05
3245,5.4787927674649564e-05
2170,5.4787927674649564e-05
5804,5.4787927674649564e-05
6197,5.4787927674649564e-05
3829,5.4787927674649564e-05
1704,5.4787927674649564e-05
7512,5.4787927674649564e-05
6433,5.4787927674649564e-05
1410,5.4787927674649564e-05
3001,5.4787927674649564e-05
1654,5.4787927674649564e-05
997,5.4787927674649564e-05
169,5.4787927674649564e-05
4070,5.752732405838205e-05
1990,5.752732405838205e-05
392,5.752732405838205e-05
2233,5.752732405838205e-05
781,5.752732405838205e-05
4367,5.752732405838205e-05
1643,5.752732405838205e-05
2790,5.752732405838205e-05
4873,5.752732405838205e-05
3996,5.752732405838205e-05
6309,5.752732405838205e-05
6110,5.752732405838205e-05
5253,5.752732405838205e-05
5258,5.752732405838205e-05
536,5.752732405838205e-05
4652,5.752732405838205e-05
2501,5.752732405838205e-05
723,5.752732405838205e-05
2644,5.752732405838205e-05
3905,5.752732405838205e-05
1302,5.752732405838205e-05
6806,5.752732405838205e-05
5876,5.752732405838205e-05
5225,5.752732405838205e-05
3046,5.752732405838205e-05
7125,5.752732405838205e-05
2662,5.752732405838205e-05
4046,5.752732405838205e-05
2528,5.752732405838205e-05
5675,5.752732405838205e-05
3424,5.752732405838205e-05
7456,5.752732405838205e-05
526,5.752732405838205e-05
1700,5.752732405838205e-05
3003,5.752732405838205e-05
2710,5.752732405838205e-05
5177,5.752732405838205e-05
7478,5.752732405838205e-05
1398,5.752732405838205e-05
2200,5.752732405838205e-05
5218,5.752732405838205e-05
6332,5.752732405838205e-05
7719,5.752732405838205e-05
622,5.752732405838205e-05
1660,5.752732405838205e-05
1715,5.752732405838205e-05
5415,5.752732405838205e-05
2730,5.752732405838205e-05
1625,5.752732405838205e-05
3550,5.752732405838205e-05
2267,5.752732405838205e-05
5226,5.752732405838205e-05
4157,5.752732405838205e-05
6,5.752732405838205e-05
2455,5.752732405838205e-05
3693,5.752732405838205e-05
818,5.752732405838205e-05
1987,5.752732405838205e-05
930,5.752732405838205e-05
1078,5.752732405838205e-05
4586,5.752732405838205e-05
6892,5.752732405838205e-05
5020,5.752732405838205e-05
5188,5.752732405838205e-05
5620,5.752732405838205e-05
7671,5.752732405838205e-05
640,5.752732405838205e-05
1397,5.752732405838205e-05
1399,5.752732405838205e-05
2803,5.752732405838205e-05
6514,5.752732405838205e-05
5633,5.752732405838205e-05
5889,5.752732405838205e-05
6703,5.752732405838205e-05
2670,5.752732405838205e-05
1400,5.752732405838205e-05
990,5.752732405838205e-05
659,5.752732405838205e-05
4348,5.752732405838205e-05
2231,5.752732405838205e-05
1626,5.752732405838205e-05
4212,5.752732405838205e-05
4410,5.752732405838205e-05
3703,5.752732405838205e-05
2371,5.752732405838205e-05
7582,5.752732405838205e-05
1570,5.752732405838205e-05
961,5.752732405838205e-05
2459,5.752732405838205e-05
5609,5.752732405838205e-05
80,5.752732405838205e-05
3696,5.752732405838205e-05
7202,5.752732405838205e-05
4887,5.752732405838205e-05
498,5.752732405838205e-05
3237,5.752732405838205e-05
5182,5.752732405838205e-05
6132,5.752732405838205e-05
4238,5.752732405838205e-05
4833,5.752732405838205e-05
6189,5.752732405838205e-05
3081,5.752732405838205e-05
2728,5.752732405838205e-05
3512,5.752732405838205e-05
7257,5.752732405838205e-05
6120,5.752732405838205e-05
4291,5.752732405838205e-05
2688,5.752732405838205e-05
7041,5.752732405838205e-05
